description,category
India Post Bill,Miscellaneous
Shoppers Stop NEFT,Shopping
IRCTC Bill,Travel
Bakery Purchase,Food
Electronics Store App,Shopping
Airtel Postpaid Transaction,Bills
Amazon Prime IMPS,Entertainment
Cab Ride Online,Travel
Myntra via UPI,Shopping
BookMyShow NEFT,Entertainment
Hospital Bill Auto-pay,Healthcare
BookMyShow,Entertainment
Clinic Visit App,Healthcare
Netflix Purchase,Entertainment
Dining,Food
Practo,Healthcare
Uber Online,Travel
Gym Membership via UPI,Miscellaneous
BlueDart via UPI,Miscellaneous
Airtel Postpaid Bill,Bills
Hotstar IMPS,Entertainment
Instamart Purchase,Groceries
Music Subscription Bill,Entertainment
Bakery Purchase,Food
Electricity Bill Payment,Bills
Pharma Purchase,Healthcare
Milk Purchase via UPI,Groceries
RedBus Auto-pay,Travel
DTH Recharge App,Bills
Supermarket Grocery App,Groceries
Tata Power Bill,Bills
Swiggy Transaction,Food
Maintenance Charges Online,Bills
Nykaa Online,Shopping
Milk Purchase NEFT,Groceries
Gym Membership,Miscellaneous
Inox Auto-pay,Entertainment
Dental Treatment Payment,Healthcare
Music Subscription App,Entertainment
Sports Ticket Auto-pay,Entertainment
Household Items,Groceries
BigBasket Payment,Groceries
Local Cafe NEFT,Food
Hotstar Payment,Entertainment
Coffee Shop Auto-pay,Food
Nature's Basket NEFT,Groceries
Daily Essentials,Groceries
Milk Purchase Transaction,Groceries
Air India Purchase,Travel
Sports Ticket Recharge,Entertainment
Maintenance Charges IMPS,Bills
Donation via UPI,Miscellaneous
Household Items Recharge,Groceries
Steam Transaction,Entertainment
Bank Charges Bill,Miscellaneous
Vi Mobile Bill Payment,Bills
Broadband Bill Purchase,Bills
Starbucks Bill,Food
Hospital Bill,Healthcare
Electronics Store Bill,Shopping
Coffee Shop Purchase,Food
Mahanagar Gas,Bills
Amazon Prime,Entertainment
Daily Essentials App,Groceries
Reliance Digital Transaction,Shopping
Sports Ticket Online,Entertainment
Amazon via UPI,Shopping
KFC Purchase,Food
Reliance Digital Recharge,Shopping
1mg Recharge,Healthcare
Practo NEFT,Healthcare
Vi Mobile Bill Recharge,Bills
Steam Bill,Entertainment
Domino's Payment,Food
Croma IMPS,Shopping
Reliance Digital Online,Shopping
BookMyShow IMPS,Entertainment
Tata Power NEFT,Bills
McDonalds IMPS,Food
Doctor Consultation Payment,Healthcare
General Store Online,Groceries
ATM Withdrawal via UPI,Miscellaneous
Doctor Consultation via UPI,Healthcare
Flight Ticket IMPS,Travel
Tata Power via UPI,Bills
KFC Purchase,Food
Lifestyle Online,Shopping
Donation Recharge,Miscellaneous
Train Ticket via UPI,Travel
Water Bill Payment,Bills
Haldirams Auto-pay,Food
RedBus Auto-pay,Travel
Broadband Bill NEFT,Bills
Bikanervala via UPI,Food
Supermarket Grocery Purchase,Groceries
Nykaa Auto-pay,Shopping
Vi Mobile Bill NEFT,Bills
Gym Membership IMPS,Miscellaneous
Domino's IMPS,Food
Spotify NEFT,Entertainment
Rapido Auto-pay,Travel
Cab Ride App,Travel
IRCTC Purchase,Travel
Medical Lab Test Bill,Healthcare
Medical Lab Test Recharge,Healthcare
Amazon Prime Purchase,Entertainment
Tata Power Online,Bills
OTT Subscription,Entertainment
Domino's Recharge,Food
Donation Transaction,Miscellaneous
DMart NEFT,Groceries
RedBus Bill,Travel
Cab Ride Transaction,Travel
Gaming Top-up Online,Entertainment
Medical Lab Test Payment,Healthcare
Airtel Postpaid NEFT,Bills
Rapido Recharge,Travel
Bus Ticket Bill,Travel
Electricity Bill Payment,Bills
DMart Online,Groceries
Netmeds App,Healthcare
Dining Recharge,Food
Gym Membership Purchase,Miscellaneous
Rapido Recharge,Travel
Charity IMPS,Miscellaneous
ATM Withdrawal IMPS,Miscellaneous
Swiggy App,Food
DMart Online,Groceries
Netflix Online,Entertainment
Local Cafe Recharge,Food
Local Cafe NEFT,Food
Jio Recharge Transaction,Bills
Lifestyle Recharge,Shopping
Hospital Bill Auto-pay,Healthcare
Mall Purchase,Shopping
Electronics Store,Shopping
Airtel Postpaid NEFT,Bills
Pharma Online,Healthcare
Ajio via UPI,Shopping
Household Items IMPS,Groceries
Music Subscription Purchase,Entertainment
Airport Taxi App,Travel
Bakery,Food
Mahanagar Gas,Bills
DTH Recharge Purchase,Bills
Myntra,Shopping
Zepto Auto-pay,Groceries
Starbucks IMPS,Food
Lifestyle NEFT,Shopping
Airport Taxi Payment,Travel
Medical Lab Test Bill,Healthcare
Maintenance Charges Transaction,Bills
Ola via UPI,Travel
BookMyShow App,Entertainment
Flipkart App,Shopping
Amazon App,Shopping
Milk Purchase Transaction,Groceries
Water Bill via UPI,Bills
Spotify Auto-pay,Entertainment
Croma Online,Shopping
Water Bill Auto-pay,Bills
Electronics Store IMPS,Shopping
Jio Recharge Online,Bills
Amazon Auto-pay,Shopping
Airport Taxi IMPS,Travel
Milk Purchase Online,Groceries
Ajio,Shopping
Starbucks App,Food
Starbucks Bill,Food
DTH Recharge Online,Bills
Clothing Store NEFT,Shopping
Sports Ticket Purchase,Entertainment
Supermarket Grocery,Groceries
Hospital Bill Online,Healthcare
Bakery NEFT,Food
Gaming Top-up Auto-pay,Entertainment
Household Items App,Groceries
BigBasket Online,Groceries
Reliance Digital NEFT,Shopping
India Post IMPS,Miscellaneous
Nykaa Transaction,Shopping
Health Insurance Online,Healthcare
Vi Mobile Bill Bill,Bills
Gaming Top-up Auto-pay,Entertainment
Hospital Bill IMPS,Healthcare
Clinic Visit Auto-pay,Healthcare
Dental Treatment App,Healthcare
Hospital Bill Payment,Healthcare
Starbucks NEFT,Food
Dental Treatment Online,Healthcare
Bank Charges Auto-pay,Miscellaneous
Spotify IMPS,Entertainment
General Store Recharge,Groceries
DTH Recharge Transaction,Bills
Tata Power,Bills
Reliance Smart Auto-pay,Groceries
Music Subscription Purchase,Entertainment
Appliance Store,Shopping
DMart Payment,Groceries
Temple Donation,Miscellaneous
IRCTC via UPI,Travel
Cult.fit Bill,Miscellaneous
ATM Withdrawal via UPI,Miscellaneous
Donation Auto-pay,Miscellaneous
Airport Taxi Recharge,Travel
Electricity Bill,Bills
DMart Recharge,Groceries
DMart,Groceries
ATM Withdrawal IMPS,Miscellaneous
Bikanervala Payment,Food
BlueDart App,Miscellaneous
Rent Payment via UPI,Bills
MakeMyTrip NEFT,Travel
Haldirams Online,Food
McDonalds App,Food
Flipkart Payment,Shopping
Uber Recharge,Travel
Broadband Bill Online,Bills
BlueDart NEFT,Miscellaneous
Sports Ticket Online,Entertainment
Health Insurance Online,Healthcare
Doctor Consultation Payment,Healthcare
Amazon Prime Recharge,Entertainment
Milk Purchase via UPI,Groceries
Flight Ticket via UPI,Travel
Bescom IMPS,Bills
Air India,Travel
1mg Bill,Healthcare
McDonalds Bill,Food
ATM Withdrawal Transaction,Miscellaneous
Flight Ticket,Travel
BigBasket Recharge,Groceries
Pharma Purchase,Healthcare
Metro Recharge Bill,Travel
OTT Subscription Transaction,Entertainment
Air India,Travel
Clinic Visit Transaction,Healthcare
IRCTC Payment,Travel
Amazon Bill,Shopping
Train Ticket Auto-pay,Travel
1mg NEFT,Healthcare
Indigo Airlines Purchase,Travel
OTT Subscription Payment,Entertainment
McDonalds Payment,Food
Cult.fit NEFT,Miscellaneous
Courier Service Auto-pay,Miscellaneous
OTT Subscription,Entertainment
Mahanagar Gas Auto-pay,Bills
Lifestyle Purchase,Shopping
Zomato IMPS,Food
Lifestyle Online,Shopping
Local Cafe App,Food
Donation Transaction,Miscellaneous
PVR Cinemas Auto-pay,Entertainment
Supermarket Grocery,Groceries
Clothing Store Bill,Shopping
Amazon Prime Auto-pay,Entertainment
Airtel Postpaid Transaction,Bills
McDonalds Online,Food
Metro Recharge IMPS,Travel
Restaurant App,Food
Milk Purchase Payment,Groceries
Apollo Pharmacy Payment,Healthcare
OTT Subscription Bill,Entertainment
PVR Cinemas Auto-pay,Entertainment
Supermarket Grocery Auto-pay,Groceries
Clothing Store Online,Shopping
Dental Treatment Online,Healthcare
Broadband Bill,Bills
Clothing Store,Shopping
Blinkit Transaction,Groceries
Amazon Prime,Entertainment
Netflix,Entertainment
Pharma Recharge,Healthcare
Donation IMPS,Miscellaneous
McDonalds Purchase,Food
Electronics Store Bill,Shopping
MakeMyTrip Purchase,Travel
Broadband Bill Payment,Bills
Temple Donation Transaction,Miscellaneous
Broadband Bill Purchase,Bills
Spotify Payment,Entertainment
Water Bill IMPS,Bills
Milk Purchase Transaction,Groceries
Dental Treatment via UPI,Healthcare
Daily Essentials App,Groceries
India Post,Miscellaneous
Blinkit App,Groceries
Airport Taxi Bill,Travel
Charity NEFT,Miscellaneous
Lifestyle via UPI,Shopping
Rapido NEFT,Travel
Electricity Bill NEFT,Bills
Air India Auto-pay,Travel
Uber via UPI,Travel
Train Ticket via UPI,Travel
India Post App,Miscellaneous
Amazon Transaction,Shopping
Ola,Travel
Mall Purchase NEFT,Shopping
BigBasket Auto-pay,Groceries
Reliance Smart Recharge,Groceries
1mg Transaction,Healthcare
Netflix Transaction,Entertainment
General Store via UPI,Groceries
Hotstar Transaction,Entertainment
Dental Treatment Bill,Healthcare
Appliance Store via UPI,Shopping
Vi Mobile Bill,Bills
Music Subscription Auto-pay,Entertainment
Electronics Store Payment,Shopping
Lifestyle NEFT,Shopping
Uber Purchase,Travel
Restaurant via UPI,Food
RedBus Recharge,Travel
India Post Transaction,Miscellaneous
Haldirams IMPS,Food
Inox IMPS,Entertainment
Shoppers Stop,Shopping
Donation Purchase,Miscellaneous
Nykaa Transaction,Shopping
Rapido Auto-pay,Travel
Hotstar Purchase,Entertainment
BookMyShow,Entertainment
BlueDart Auto-pay,Miscellaneous
KFC Recharge,Food
Electronics Store IMPS,Shopping
Air India Transaction,Travel
Nature's Basket Auto-pay,Groceries
Courier Service via UPI,Miscellaneous
KFC Transaction,Food
Vi Mobile Bill Purchase,Bills
Croma Transaction,Shopping
Apollo Pharmacy Online,Healthcare
Clinic Visit IMPS,Healthcare
Retail Store IMPS,Shopping
ATM Withdrawal,Miscellaneous
Zepto Payment,Groceries
Starbucks Payment,Food
Electronics Store Purchase,Shopping
Donation Payment,Miscellaneous
Uber NEFT,Travel
DMart Transaction,Groceries
BookMyShow Transaction,Entertainment
Lifestyle Bill,Shopping
Ola NEFT,Travel
Zepto Bill,Groceries
Broadband Bill Recharge,Bills
Courier Service,Miscellaneous
Flipkart Purchase,Shopping
General Store Purchase,Groceries
Local Cafe,Food
Domino's Auto-pay,Food
BlueDart Payment,Miscellaneous
DMart via UPI,Groceries
Charity App,Miscellaneous
Netmeds Online,Healthcare
Blinkit Purchase,Groceries
Tata Power Bill,Bills
General Store Recharge,Groceries
Dining NEFT,Food
Swiggy Transaction,Food
Milk Purchase Payment,Groceries
Doctor Consultation NEFT,Healthcare
Electricity Bill Payment,Bills
Practo Payment,Healthcare
General Store Bill,Groceries
Household Items Auto-pay,Groceries
Water Bill Online,Bills
Starbucks Auto-pay,Food
Tata Power Recharge,Bills
Restaurant Bill,Food
Water Bill Transaction,Bills
Dining Auto-pay,Food
Zepto Bill,Groceries
Rent Payment Auto-pay,Bills
Shoppers Stop Auto-pay,Shopping
Practo Payment,Healthcare
General Store Bill,Groceries
Milk Purchase Bill,Groceries
RedBus Recharge,Travel
1mg Recharge,Healthcare
BookMyShow Bill,Entertainment
Inox Auto-pay,Entertainment
Mall Purchase App,Shopping
Lifestyle App,Shopping
Zomato Transaction,Food
Reliance Smart Online,Groceries
Dental Treatment,Healthcare
Pharma NEFT,Healthcare
Amazon Purchase,Shopping
Steam Online,Entertainment
Rapido,Travel
Swiggy Auto-pay,Food
Bus Ticket Auto-pay,Travel
Practo Bill,Healthcare
Instamart Purchase,Groceries
Electronics Store Online,Shopping
Donation Payment,Miscellaneous
Tata Power IMPS,Bills
BigBasket App,Groceries
Nykaa Purchase,Shopping
IRCTC Bill,Travel
KFC via UPI,Food
Milk Purchase via UPI,Groceries
Mall Purchase App,Shopping
Donation Online,Miscellaneous
Starbucks Bill,Food
Cafe Coffee Day App,Food
Domino's Recharge,Food
OTT Subscription App,Entertainment
Retail Store Purchase,Shopping
1mg Payment,Healthcare
Temple Donation Recharge,Miscellaneous
Train Ticket Recharge,Travel
General Store Transaction,Groceries
KFC IMPS,Food
Flipkart IMPS,Shopping
BlueDart,Miscellaneous
Rent Payment Recharge,Bills
IRCTC IMPS,Travel
ATM Withdrawal App,Miscellaneous
Flight Ticket Recharge,Travel
Amazon Auto-pay,Shopping
Pharma Auto-pay,Healthcare
Daily Essentials Bill,Groceries
Bikanervala App,Food
Netmeds Online,Healthcare
Water Bill Recharge,Bills
Hotstar App,Entertainment
Zomato,Food
Local Kirana NEFT,Groceries
BigBasket NEFT,Groceries
MakeMyTrip Transaction,Travel
Domino's Bill,Food
Health Insurance App,Healthcare
Music Subscription Bill,Entertainment
Doctor Consultation Payment,Healthcare
Gym Membership IMPS,Miscellaneous
Netmeds NEFT,Healthcare
Bakery Purchase,Food
Indigo Airlines Bill,Travel
Temple Donation via UPI,Miscellaneous
Parking Fee Purchase,Miscellaneous
Courier Service NEFT,Miscellaneous
Metro Recharge IMPS,Travel
Event Ticket,Entertainment
DMart IMPS,Groceries
Haldirams Bill,Food
BigBasket Auto-pay,Groceries
OTT Subscription App,Entertainment
Bikanervala via UPI,Food
Cult.fit Auto-pay,Miscellaneous
Local Kirana Transaction,Groceries
Netflix Auto-pay,Entertainment
Instamart Recharge,Groceries
Temple Donation via UPI,Miscellaneous
Local Kirana,Groceries
Bescom NEFT,Bills
Courier Service via UPI,Miscellaneous
PVR Cinemas App,Entertainment
Inox Transaction,Entertainment
Electricity Bill Online,Bills
Charity App,Miscellaneous
Steam Purchase,Entertainment
Indigo Airlines Bill,Travel
Electronics Store App,Shopping
Restaurant Auto-pay,Food
Coffee Shop NEFT,Food
Medical Lab Test via UPI,Healthcare
Tata Power App,Bills
Temple Donation Purchase,Miscellaneous
Ajio IMPS,Shopping
Local Kirana NEFT,Groceries
Bus Ticket Online,Travel
Amazon Prime Purchase,Entertainment
General Store,Groceries
Rent Payment Recharge,Bills
Event Ticket,Entertainment
Appliance Store App,Shopping
1mg Recharge,Healthcare
KFC Bill,Food
BigBasket IMPS,Groceries
Flipkart via UPI,Shopping
Instamart Purchase,Groceries
Jio Recharge Online,Bills
Bakery Payment,Food
Charity IMPS,Miscellaneous
Lifestyle Payment,Shopping
Apollo Pharmacy Online,Healthcare
Mall Purchase via UPI,Shopping
Daily Essentials NEFT,Groceries
DTH Recharge via UPI,Bills
Gym Membership Recharge,Miscellaneous
Gaming Top-up,Entertainment
Music Subscription Online,Entertainment
Clinic Visit Recharge,Healthcare
Inox Auto-pay,Entertainment
Water Bill Transaction,Bills
Clinic Visit Recharge,Healthcare
Daily Essentials Purchase,Groceries
Maintenance Charges App,Bills
Apollo Pharmacy App,Healthcare
Metro Recharge Bill,Travel
Zepto App,Groceries
General Store Recharge,Groceries
Household Items Bill,Groceries
Appliance Store Transaction,Shopping
Jio Recharge Auto-pay,Bills
DMart Purchase,Groceries
ATM Withdrawal Transaction,Miscellaneous
Instamart IMPS,Groceries
Bikanervala Transaction,Food
Spotify IMPS,Entertainment
Netmeds Auto-pay,Healthcare
Inox Bill,Entertainment
Courier Service Recharge,Miscellaneous
Clinic Visit Online,Healthcare
Milk Purchase Recharge,Groceries
Flight Ticket Purchase,Travel
Daily Essentials Auto-pay,Groceries
Broadband Bill Payment,Bills
Instamart Recharge,Groceries
Mall Purchase Payment,Shopping
Health Insurance Online,Healthcare
Shoppers Stop Recharge,Shopping
BlueDart Auto-pay,Miscellaneous
Netmeds Bill,Healthcare
Bus Ticket IMPS,Travel
Local Kirana via UPI,Groceries
MakeMyTrip Auto-pay,Travel
Coffee Shop NEFT,Food
Cult.fit Online,Miscellaneous
Household Items via UPI,Groceries
Metro Recharge App,Travel
Cafe Coffee Day Payment,Food
Broadband Bill Transaction,Bills
Instamart Purchase,Groceries
Domino's Purchase,Food
Clinic Visit Payment,Healthcare
Local Cafe Auto-pay,Food
Water Bill Bill,Bills
Croma Payment,Shopping
IRCTC NEFT,Travel
ATM Withdrawal Bill,Miscellaneous
Airport Taxi Payment,Travel
Pharma Transaction,Healthcare
DTH Recharge Online,Bills
DMart Auto-pay,Groceries
Ola Payment,Travel
Cab Ride Recharge,Travel
Amazon Prime Online,Entertainment
Electricity Bill Payment,Bills
Local Cafe Online,Food
Jio Recharge Bill,Bills
Daily Essentials Online,Groceries
Uber IMPS,Travel
General Store App,Groceries
BlueDart App,Miscellaneous
Music Subscription Auto-pay,Entertainment
Local Cafe via UPI,Food
Donation Purchase,Miscellaneous
Coffee Shop App,Food
Instamart via UPI,Groceries
Clinic Visit App,Healthcare
Clothing Store Bill,Shopping
DTH Recharge Transaction,Bills
Medical Lab Test,Healthcare
Rapido Online,Travel
Doctor Consultation Transaction,Healthcare
Milk Purchase Bill,Groceries
Donation,Miscellaneous
Parking Fee Auto-pay,Miscellaneous
Air India App,Travel
Air India Online,Travel
Electricity Bill Payment,Bills
Rapido Auto-pay,Travel
IRCTC Online,Travel
Reliance Smart Transaction,Groceries
Local Cafe Purchase,Food
Gym Membership,Miscellaneous
Netmeds Transaction,Healthcare
Nature's Basket Purchase,Groceries
Water Bill Online,Bills
Instamart Online,Groceries
Tata Power via UPI,Bills
Bescom via UPI,Bills
Practo Recharge,Healthcare
PVR Cinemas Payment,Entertainment
Doctor Consultation Purchase,Healthcare
Metro Recharge,Travel
Air India via UPI,Travel
OTT Subscription Auto-pay,Entertainment
Hotstar Auto-pay,Entertainment
Spotify Online,Entertainment
Blinkit Auto-pay,Groceries
Cab Ride Bill,Travel
Daily Essentials,Groceries
Bus Ticket NEFT,Travel
Mahanagar Gas Auto-pay,Bills
Sports Ticket App,Entertainment
PVR Cinemas Online,Entertainment
Electronics Store via UPI,Shopping
Airtel Postpaid NEFT,Bills
Bakery IMPS,Food
Haldirams Auto-pay,Food
Electronics Store Online,Shopping
Electricity Bill Purchase,Bills
Rapido,Travel
Clothing Store,Shopping
Flipkart Transaction,Shopping
Donation Bill,Miscellaneous
Temple Donation Payment,Miscellaneous
Hospital Bill IMPS,Healthcare
Blinkit Auto-pay,Groceries
PVR Cinemas Online,Entertainment
Health Insurance Purchase,Healthcare
Temple Donation,Miscellaneous
Hospital Bill via UPI,Healthcare
Dental Treatment Auto-pay,Healthcare
Myntra,Shopping
Air India Transaction,Travel
Rent Payment Recharge,Bills
Music Subscription Online,Entertainment
Clinic Visit NEFT,Healthcare
OTT Subscription Purchase,Entertainment
Metro Recharge Transaction,Travel
Netflix Transaction,Entertainment
Daily Essentials Payment,Groceries
Myntra App,Shopping
Bescom NEFT,Bills
Swiggy Online,Food
Doctor Consultation NEFT,Healthcare
Rapido Online,Travel
Jio Recharge NEFT,Bills
Courier Service via UPI,Miscellaneous
Charity Transaction,Miscellaneous
Bank Charges Transaction,Miscellaneous
Music Subscription IMPS,Entertainment
Steam Purchase,Entertainment
Local Kirana Bill,Groceries
Flipkart,Shopping
Broadband Bill Auto-pay,Bills
Electricity Bill Bill,Bills
Charity Auto-pay,Miscellaneous
Bus Ticket IMPS,Travel
Bakery Auto-pay,Food
Blinkit Bill,Groceries
Nykaa Recharge,Shopping
Ajio Payment,Shopping
Electricity Bill IMPS,Bills
RedBus Online,Travel
Charity Purchase,Miscellaneous
Air India Recharge,Travel
Household Items Bill,Groceries
PVR Cinemas Auto-pay,Entertainment
Uber NEFT,Travel
Reliance Smart Payment,Groceries
Airtel Postpaid Auto-pay,Bills
ATM Withdrawal App,Miscellaneous
Music Subscription NEFT,Entertainment
Maintenance Charges Transaction,Bills
Water Bill Auto-pay,Bills
Steam Payment,Entertainment
Amazon Prime NEFT,Entertainment
DMart Online,Groceries
Maintenance Charges Transaction,Bills
Cab Ride Transaction,Travel
Bus Ticket via UPI,Travel
Train Ticket NEFT,Travel
Temple Donation Transaction,Miscellaneous
Dental Treatment Payment,Healthcare
Event Ticket Auto-pay,Entertainment
1mg Auto-pay,Healthcare
Swiggy Online,Food
Blinkit IMPS,Groceries
OTT Subscription NEFT,Entertainment
Amazon Recharge,Shopping
BookMyShow Payment,Entertainment
Milk Purchase,Groceries
Doctor Consultation via UPI,Healthcare
BookMyShow Payment,Entertainment
Flight Ticket Auto-pay,Travel
Metro Recharge Transaction,Travel
Starbucks Bill,Food
Train Ticket IMPS,Travel
Temple Donation Recharge,Miscellaneous
Maintenance Charges IMPS,Bills
Tata Power Bill,Bills
Inox Online,Entertainment
Bescom Bill,Bills
